Test,Code,block size,Max CPU Time,Min CPU Time,Avg CPU Time
circle,omp-original,16,1553.241116,1418.251056,1484.27
coins,omp-original,16,259.421384,184.911162,226.643
fractal,omp-original,16,19993.524594,18858.583495,19440.7
synthetic,omp-original,16,774.237974,390.685478,677.811
tree,omp-original,16,9298.371630,8678.824194,8968.36
