Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-in-1024,cuda-basic,16,2742.6,2736.5,2740.62,2933.56,2794.8,2845.01
circle-in-2048,cuda-basic,16,21699.3,21675.3,21688.1,22444.6,21910.2,22065.5
circle-in-256,cuda-basic,16,56.5811,54.8299,56.0417,70.7749,66.4772,67.781
circle-in-512,cuda-basic,16,362.127,360.339,361.362,406.357,380.713,394.932
circle-out-1024,cuda-basic,16,4481.1,4475.67,4478.36,4637.87,4533.43,4557.02
circle-out-2048,cuda-basic,16,35667.4,35619.2,35642.1,36499.6,35840,36032.1
circle-out-256,cuda-basic,16,90.7754,88.556,89.399,110.581,94.7818,99.8017
circle-out-512,cuda-basic,16,593.531,588.838,591.679,650.738,609.557,619.406
