Test,Code,block size,Max CPU Time,Min CPU Time,Avg CPU Time
circle-in-1024,omp-original,16,1619.582425,1411.091213,1514.92
circle-in-2048,omp-original,16,5303.304562,5108.042927,5220.29
circle-in-256,omp-original,16,146.126524,115.899560,137.336
circle-in-512,omp-original,16,615.484015,267.851040,448.06
circle-out-1024,omp-original,16,4850.595233,4560.123273,4651.96
circle-out-2048,omp-original,16,19538.909956,18767.868561,18907.5
circle-out-256,omp-original,16,537.507196,232.120295,434.64
circle-out-512,omp-original,16,1490.610625,1004.946078,1173.92
