Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-out-2048,cuda-basic-4,16,202.722748,201.610107,202.259,352.614563,282.938568,326.736
circle-out-2048,cuda-basic-4,32,205.123871,175.471970,197.894,354.354675,284.592438,321.345
circle-out-2048,cuda-opt,4,2563.676025,2525.535400,2546.71,2685.356445,2622.057861,2647.42
circle-out-2048,cuda-opt,8,550.104187,548.705383,549.697,699.291138,623.552368,669.376
circle-out-2048,cuda-opt,16,202.657120,201.576828,202.196,353.088318,297.268250,328.581
circle-out-2048,cuda-opt,32,209.581665,180.498566,196.701,359.491028,257.213196,305.22
circle-out-256,cuda-basic,4,55.617760,54.861408,55.0976,69.185791,61.817249,63.8144
circle-out-256,cuda-basic,8,11.229216,10.666400,11.1137,24.885471,18.305920,23.7213
circle-out-256,cuda-basic,16,4.772608,4.278816,4.46256,17.249409,11.173024,13.383
circle-out-256,cuda-basic,32,5.583776,5.048672,5.21193,19.360319,11.430880,13.824
circle-out-256,cuda-basic-4,4,13.280384,12.726272,13.1417,19.595104,16.081600,18.7336
circle-out-256,cuda-basic-4,8,4.366752,3.859360,4.10799,10.680384,7.294080,8.94172
circle-out-256,cuda-basic-4,16,3.983168,3.380960,3.71196,10.322400,6.805536,8.70411
circle-out-256,cuda-basic-4,32,4.481568,3.979680,4.16515,10.111136,7.160128,8.16431
circle-out-256,cuda-opt,4,13.260608,12.574176,12.9971,19.635521,15.928544,18.3214
circle-out-256,cuda-opt,8,4.286912,3.764704,4.01034,10.538080,7.119936,8.7073
circle-out-256,cuda-opt,16,3.448800,2.807968,3.19997,9.581504,6.267488,8.59038
circle-out-256,cuda-opt,32,4.662944,4.114976,4.36781,10.605472,7.370656,8.82538
circle-out-512,cuda-basic,4,251.201889,246.882172,248.69,291.087921,270.008942,279.354
circle-out-512,cuda-basic,8,58.145599,57.341854,57.9355,99.098335,77.922432,95.7287
circle-out-512,cuda-basic,16,21.972609,21.042721,21.4687,62.993023,41.247967,49.9956
circle-out-512,cuda-basic,32,20.170303,19.441343,19.8673,61.293983,39.729118,53.5919
circle-out-512,cuda-basic-4,4,71.602814,71.344704,71.4588,81.829056,77.927872,79.0923
circle-out-512,cuda-basic-4,8,16.724192,16.044191,16.4276,30.342913,22.446592,26.9471
circle-out-512,cuda-basic-4,16,10.157120,9.495168,9.82796,23.780289,16.413857,19.9888
circle-out-512,cuda-basic-4,32,12.076352,11.472448,11.7984,25.685856,18.519264,22.2896
circle-out-512,cuda-opt,4,71.955009,71.140671,71.4558,84.418335,78.191681,80.538
circle-out-512,cuda-opt,8,16.169664,15.518816,15.8869,29.908768,22.442272,26.414
circle-out-512,cuda-opt,16,10.243584,9.464672,9.84757,23.852032,16.415071,20.5726
circle-out-512,cuda-opt,32,12.399840,11.734944,12.0094,26.081152,18.697727,21.2607
